"STATION","NAME","DATE","CDSD","CLDD","DP01","DP10","DSND","DSNW","DT00","DT32","DX32","DX70","DX90","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","HTDD","PRCP","SNOW","TAVG","TMAX","TMIN"
"USW00014739","BOSTON, MA US","2000-01","0","0","10","6","11","3","1","25","14","0","0","0","5","5.6","0.76","64","2957","1163","2.62","13.2","27.5","35.7","19.3"
"USW00014739","BOSTON, MA US","2000-02","0","0","12","5","14","2","0","23","5","0","0","13","8","6.5","0.98","61","3851","894","2.56","9.3","34.2","41.4","26.9"
"USW00014739","BOSTON, MA US","2000-03","0","0","8","6","1","1","0","7","1","2","0","16","2","2.0","1.00","72","4524","673","3.60","2.0","43.3","51.1","35.5"
"USW00014739","BOSTON, MA US","2000-04","0","0","15","10","0","0","0","0","0","2","0","34","0","0.0","1.50","75","5054","530","5.03","0.0","47.3","54.4","40.2"
"USW00014739","BOSTON, MA US","2000-05","15","15","14","7","0","0","0","0","0","9","1","42","0","0.0","0.71","91","5310","256","2.89","0.0","57.2","65.9","48.5"
"USW00014739","BOSTON, MA US","2000-06","161","147","13","9","0","0","0","0","0","21","3","46","0","0.0","4.00","92","5387","77","6.61","0.0","67.3","75.4","59.2"
"USW00014739","BOSTON, MA US","2000-07","322","161","12","9","0","0","0","0","0","26","0","55","0","0.0","1.35","87","7","7","5.20","0.0","69.9","77.1","62.8"
"USW00014739","BOSTON, MA US","2000-08","488","166","12","5","0","0","0","0","0","29","0","56","0","0.0","0.91","89","11","3","2.22","0.0","70.2","77.1","63.4"
"USW00014739","BOSTON, MA US","2000-09","556","68","8","5","0","0","0","0","0","19","0","38","0","0.0","0.94","87","123","113","2.87","0.0","63.5","71.6","55.4"
"USW00014739","BOSTON, MA US","2000-10","560","4","8","7","0","0","0","0","0","8","0","33","0","0.0","1.03","80","473","349","2.86","0.0","53.9","61.7","46.1"
"USW00014739","BOSTON, MA US","2000-11","560","0","8","6","0","0","0","6","1","0","0","17","0","0.0","1.46","66","1109","636","4.51","0.0","43.8","49.2","38.4"
"USW00014739","BOSTON, MA US","2000-12","560","0","9","6","2","1","0","30","14","0","0","8","1","1.4","2.67","64","2219","1110","4.67","4.5","29.2","35.9","22.5"
"USW00014739","BOSTON, MA US","2001-01","0","0","9","4","13","4","0","31","5","0","0","12","7","6.4","0.42","44","3305","1087","1.58","12.4","29.9","36.2","23.7"
"USW00014739","BOSTON, MA US","2001-02","0","0","11","4","5","3","0","25","7","0","0","10","4","2.9","0.61","54","4237","932","1.38","9.8","31.7","39.2","24.2"
"USW00014739","BOSTON, MA US","2001-03","0","0","13","9","13","6","0","18","5","0","0","17","12","6.2","2.59","51","5159","921","7.57","19.3","35.3","40.6","29.9"
"USW00014739","BOSTON, MA US","2001-04","8","8","6","4","0","0","0","2","0","4","0","32","0","0.0","0.33","85","5656","497","0.89","0.0","48.7","56.7","40.7"
"USW00014739","BOSTON, MA US","2001-05","62","54","10","3","0","0","0","0","0","12","3","38","0","0.0","0.49","92","5880","223","1.24","0.0","59.5","68.0","51.1"
"USW00014739","BOSTON, MA US","2001-06","264","202","9","7","0","0","0","0","0","27","4","50","0","0.0","2.26","92","5899","19","4.99","0.0","71.1","79.7","62.4"
"USW00014739","BOSTON, MA US","2001-07","419","155","8","5","0","0","0","0","0","29","3","56","0","0.0","0.67","95","3","3","2.13","0.0","69.9","77.9","61.9"
"USW00014739","BOSTON, MA US","2001-08","696","277","8","7","0","0","0","0","0","29","6","58","0","0.0","1.57","97","4","1","4.13","0.0","73.9","81.1","66.7"
